,property_type,region,area_m2,country,state,city,lat,lon,price_brl
95,apartment,Northeast,133.0,Brasil,Bahia,Salvador,,,1300561.65
96,apartment,Northeast,133.0,Brasil,Bahia,Salvador,-12.984901,-38.439594,1335765.75
97,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.994164,-38.518372,829743.15
98,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.994164,-38.518372,867830.6
99,house,Northeast,110.0,Brasil,Bahia,Salvador,,,421269.4
100,apartment,Northeast,100.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,405666.85
101,house,Northeast,120.0,Brasil,Bahia,Lauro de Freitas,,,655307.95
102,apartment,Northeast,127.0,Brasil,Bahia,Salvador,,,936154.25
103,house,Northeast,240.0,Brasil,Bahia,Salvador,,,667790.05
104,apartment,Northeast,66.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,655307.95
105,apartment,Northeast,93.0,Brasil,Bahia,Salvador,-12.981397,-38.441444,546089.9500000001
106,house,Northeast,120.0,Brasil,Bahia,Saubara,-12.7732,-38.789162,405666.85
107,apartment,Northeast,110.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,561692.5499999999
108,house,Northeast,151.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,592897.7
109,apartment,Northeast,85.0,Brasil,Bahia,Salvador,-12.938337,-38.362667,452474.55000000005
110,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,764525.95
111,apartment,Northeast,58.0,Brasil,Bahia,Salvador,-13.001169,-38.49419,546089.9500000001
112,apartment,Northeast,191.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1037570.95
113,apartment,Northeast,61.0,Brasil,Bahia,Salvador,,,580103.6
114,house,Northeast,244.0,Brasil,Bahia,Salvador,,,1965923.95
115,apartment,Northeast,170.0,Brasil,Bahia,Salvador,-12.958966,-38.405651,1014167.1000000001
116,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.9349962,-38.3576186,1078239.05
117,apartment,Northeast,185.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,694314.4
118,apartment,Northeast,56.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,405666.85
119,apartment,Northeast,80.0,Brasil,Bahia,Salvador,,,592897.7
120,apartment,Northeast,95.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,546089.9500000001
121,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.996323,-38.481049,561692.5499999999
122,apartment,Northeast,110.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,561692.5499999999
123,apartment,Northeast,110.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,592897.7
124,apartment,Northeast,114.0,Brasil,Bahia,Salvador,-13.002217,-38.516796,1209199.25
125,apartment,Northeast,98.0,Brasil,Bahia,Salvador,-13.002217,-38.516796,778568.3
126,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,670598.5
127,apartment,Northeast,102.0,Brasil,Bahia,Salvador,-13.007612,-38.49474,952536.9500000001
128,apartment,Northeast,63.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,982961.9500000001
129,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,499282.25
130,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,421269.4
131,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,577295.1
132,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,538288.7000000001
133,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.974552,-38.496819,464956.60000000003
134,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.974552,-38.496819,436871.95
135,apartment,Northeast,83.0,Brasil,Bahia,Salvador,,,858141.4
136,apartment,Northeast,143.0,Brasil,Bahia,Salvador,-12.9857,-38.519516,1014167.1000000001
137,house,Northeast,140.0,Brasil,Bahia,Salvador,-12.920561,-38.318233,530487.4
138,house,Northeast,197.0,Brasil,Bahia,Alagoinhas,-12.12635,-38.40873,741122.1000000001
139,apartment,Northeast,114.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,764525.95
140,apartment,Northeast,95.0,Brasil,Bahia,Salvador,-13.007857,-38.498463,507083.55000000005
141,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-13.010818,-38.48336,546089.9500000001
142,apartment,Northeast,152.0,Brasil,Bahia,Salvador,-13.000164,-38.489021,1638269.95
143,house,Northeast,66.0,Brasil,Bahia,Itaparica,-12.905073,-38.684437,858141.4
144,apartment,Northeast,244.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,936154.25
145,apartment,Northeast,206.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,1872308.55
146,apartment,Northeast,195.0,Brasil,Bahia,Salvador,-13.002785,-38.519222,1217000.5499999998
147,house,Northeast,110.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,468077.1
148,apartment,Northeast,151.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,717718.25
149,house,Northeast,150.0,Brasil,Bahia,Lauro de Freitas,,,483679.7
150,apartment,Northeast,125.0,Brasil,Bahia,Salvador,-12.974986,-38.490906,452318.5
151,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,374461.69999999995
152,apartment,Northeast,184.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,1872308.55
153,apartment,Northeast,106.0,Brasil,Bahia,Salvador,-13.009679,-38.486305,592897.7
154,apartment,Northeast,92.0,Brasil,Bahia,Salvador,-13.010818,-38.48336,413468.1
155,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,889346.55
156,apartment,Northeast,78.0,Brasil,Bahia,Salvador,-13.010534,-38.485542,483679.7
157,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,577295.1
158,apartment,Northeast,71.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,421269.4
159,apartment,Northeast,59.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,569493.85
160,apartment,Northeast,142.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,575734.85
161,apartment,Northeast,82.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,405666.85
162,house,Northeast,250.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,1872308.55
163,apartment,Northeast,95.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,936154.25
164,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-13.00525,-38.516327,920551.7
165,apartment,Northeast,215.0,Brasil,Bahia,Salvador,-13.002785,-38.519222,1872308.55
166,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.985579,-38.470348,463396.35000000003
167,apartment,Northeast,78.0,Brasil,Bahia,Salvador,-12.985591,-38.469273,670910.5499999999
168,apartment,Northeast,186.0,Brasil,Bahia,Salvador,-13.009664,-38.486431,2057355.05
169,apartment,Northeast,220.0,Brasil,Bahia,Salvador,-13.009679,-38.486305,1716282.8
170,apartment,Northeast,203.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1326218.55
171,apartment,Northeast,114.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1014167.1000000001
172,apartment,Northeast,180.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1326218.55
173,apartment,Northeast,98.0,Brasil,Bahia,Salvador,,,873743.9500000001
174,apartment,Northeast,235.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,826936.25
175,apartment,Northeast,155.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,1552455.7999999998
176,apartment,Northeast,155.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,1482244.25
177,apartment,Northeast,198.0,Brasil,Bahia,Salvador,,,1092179.95
178,apartment,Northeast,195.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,2262372.8
179,apartment,Northeast,127.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,904949.1000000001
180,apartment,Northeast,128.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,764525.95
181,apartment,Northeast,111.0,Brasil,Bahia,Salvador,,,873743.9500000001
182,apartment,Northeast,186.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,1170192.8
183,apartment,Northeast,212.0,Brasil,Bahia,Salvador,-12.94999,-38.391624,2075141.9500000002
184,apartment,Northeast,98.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,1138987.7
185,apartment,Northeast,55.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,702115.7000000001
186,apartment,Northeast,168.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,1560257.0999999999
187,apartment,Northeast,180.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,1388628.8
188,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.970389,-38.424129,428517.0
189,apartment,Northeast,116.0,Brasil,Bahia,Salvador,-12.951526,-38.392464,1042251.75
190,apartment,Northeast,143.0,Brasil,Bahia,Salvador,-12.951526,-38.392464,1266928.75
191,apartment,Northeast,210.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1638269.95
192,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1170192.8
193,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.983234,-38.443928,655307.95
194,apartment,Northeast,128.0,Brasil,Bahia,Salvador,-12.984901,-38.439594,1170192.8
195,apartment,Northeast,59.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,728952.1000000001
196,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.981397,-38.441444,634400.5
197,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-13.002345,-38.528343,655307.95
198,apartment,Northeast,170.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,1014167.1000000001
199,apartment,Northeast,230.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,2028334.25
200,apartment,Northeast,210.0,Brasil,Bahia,Salvador,,,1232603.1
201,apartment,Northeast,100.0,Brasil,Bahia,Salvador,-12.992472,-38.52298,1138987.7
202,apartment,Northeast,185.0,Brasil,Bahia,Salvador,-12.992102,-38.521461,1060974.8
203,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.982599,-38.499725,655307.95
204,apartment,Northeast,103.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,933345.8
205,apartment,Northeast,122.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,1248205.7000000002
206,apartment,Northeast,230.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,1482244.25
207,apartment,Northeast,166.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,936154.25
208,apartment,Northeast,102.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,1326218.55
209,apartment,Northeast,164.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,2072021.45
210,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,491480.95
211,apartment,Northeast,89.0,Brasil,Bahia,Salvador,-12.970966,-38.436806,803532.4
212,apartment,Northeast,109.0,Brasil,Bahia,Salvador,-12.968704,-38.435516,733320.8500000001
213,apartment,Northeast,71.0,Brasil,Bahia,Salvador,-12.993493,-38.477962,530487.4
214,apartment,Northeast,63.0,Brasil,Bahia,Salvador,,,530487.4
215,apartment,Northeast,100.0,Brasil,Bahia,Salvador,-12.993493,-38.477962,546089.9500000001
216,apartment,Northeast,100.0,Brasil,Bahia,Salvador,-12.99183,-38.477451,733320.8500000001
217,apartment,Northeast,156.0,Brasil,Bahia,Salvador,-13.002883,-38.486099,1950321.4000000001
218,apartment,Northeast,210.0,Brasil,Bahia,Salvador,,,2404200.1999999997
219,apartment,Northeast,140.0,Brasil,Bahia,Salvador,-12.994513,-38.479004,1170192.8
220,house,Northeast,73.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,405666.85
221,house,Northeast,120.0,Brasil,Bahia,Lauro de Freitas,,,608500.25
222,apartment,Northeast,71.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,405666.85
223,apartment,Northeast,71.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,390064.25
224,apartment,Northeast,143.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,1482244.25
225,apartment,Northeast,158.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,904949.1000000001
226,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.999527,-38.46265,386943.75
227,apartment,Northeast,128.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,1179215.3
228,house,Northeast,156.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,967359.4
229,house,Northeast,170.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,858141.4
230,house,Northeast,114.0,Brasil,Bahia,Camaçari,,,499282.25
231,apartment,Northeast,136.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,546089.9500000001
232,apartment,Northeast,68.0,Brasil,Bahia,Salvador,-12.98516,-38.482758,507083.55000000005
233,apartment,Northeast,71.0,Brasil,Bahia,Salvador,-13.001169,-38.49419,608500.25
234,apartment,Northeast,165.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,1716282.8
235,apartment,Northeast,71.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,850340.1
236,apartment,Northeast,72.0,Brasil,Bahia,Salvador,-12.983234,-38.443928,592897.7
237,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.937969,-38.381538,663109.25
238,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.937969,-38.381538,499282.25
239,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.974941,-38.440117,514884.85
240,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.931565,-38.40873,514884.85
241,apartment,Northeast,156.0,Brasil,Bahia,Salvador,-13.002883,-38.486099,1607064.8
242,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,468077.1
243,apartment,Northeast,195.0,Brasil,Bahia,Salvador,-12.950598,-38.40873,1950321.4000000001
244,apartment,Northeast,142.0,Brasil,Bahia,Salvador,-12.950598,-38.40873,1310615.95
245,apartment,Northeast,112.0,Brasil,Bahia,Salvador,,,1060974.8
246,apartment,Northeast,137.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,982961.9500000001
247,apartment,Northeast,143.0,Brasil,Bahia,Salvador,,,1326218.55
248,apartment,Northeast,128.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,764525.95
249,apartment,Northeast,111.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,873743.9500000001
250,house,Northeast,120.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,608500.25
251,apartment,Northeast,230.0,Brasil,Bahia,Salvador,,,1482244.25
252,apartment,Northeast,71.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,405666.85
253,apartment,Northeast,186.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,1170192.8
254,apartment,Northeast,186.0,Brasil,Bahia,Salvador,-13.009664,-38.486431,2057355.05
255,apartment,Northeast,128.0,Brasil,Bahia,Salvador,-12.984901,-38.439594,1170192.8
256,apartment,Northeast,122.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,1248205.7000000002
257,apartment,Northeast,59.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,728952.1000000001
258,apartment,Northeast,140.0,Brasil,Bahia,Salvador,-12.994513,-38.479004,1170192.8
259,apartment,Northeast,180.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,1388628.8
260,apartment,Northeast,210.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,1232603.1
261,apartment,Northeast,59.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,569493.85
262,apartment,Northeast,71.0,Brasil,Bahia,Salvador,-12.993493,-38.477962,530487.4
263,apartment,Northeast,63.0,Brasil,Bahia,Salvador,,,530487.4
264,apartment,Northeast,55.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,702115.7000000001
265,apartment,Northeast,98.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,873743.9500000001
266,apartment,Northeast,127.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,904949.1000000001
267,apartment,Northeast,235.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,826936.25
268,apartment,Northeast,195.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,2262372.8
269,apartment,Northeast,170.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,1014167.1000000001
270,apartment,Northeast,95.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,936154.25
271,apartment,Northeast,230.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,2028334.25
272,apartment,Northeast,185.0,Brasil,Bahia,Salvador,-12.992102,-38.521461,1060974.8
273,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-13.00525,-38.516327,920551.7
274,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.983234,-38.443928,655307.95
275,apartment,Northeast,166.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,936154.25
276,apartment,Northeast,100.0,Brasil,Bahia,Salvador,-12.992472,-38.52298,1138987.7
277,apartment,Northeast,71.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,390064.25
278,house,Northeast,250.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,1872308.55
279,apartment,Northeast,158.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,904949.1000000001
280,apartment,Northeast,102.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,1326218.55
281,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.985579,-38.470348,463396.35000000003
282,apartment,Northeast,128.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,1179215.3
283,apartment,Northeast,164.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,2072021.45
284,apartment,Northeast,210.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1638269.95
285,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1170192.8
286,apartment,Northeast,215.0,Brasil,Bahia,Salvador,-13.002785,-38.519222,1872308.55
287,apartment,Northeast,180.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1326218.55
288,apartment,Northeast,212.0,Brasil,Bahia,Salvador,-12.94999,-38.391624,2075141.9500000002
289,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.998506,-38.52309,491480.95
290,apartment,Northeast,98.0,Brasil,Bahia,Salvador,,,1138987.7
291,apartment,Northeast,168.0,Brasil,Bahia,Salvador,-12.993533,-38.526047,1560257.0999999999
292,apartment,Northeast,142.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,575734.85
293,house,Northeast,73.0,Brasil,Bahia,Lauro de Freitas,,,405666.85
294,apartment,Northeast,78.0,Brasil,Bahia,Salvador,-12.985591,-38.469273,670910.5499999999
